transfers	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p08_G12	G12	256	2	0.830
1	3	3_p08_H12	H12	256	2	0.753
3	3	3_p03_A01	A1	16	1	0.318
3	3	3_p03_B01	B1	16	1	0.327
3	3	3_p03_C01	C1	16	1	0.312
3	3	3_p03_D01	D1	16	1	0.337
3	3	3_p03_E01	E1	16	1	0.319
3	3	3_p03_F01	F1	16	1	0.315
3	3	3_p03_G01	G1	16	1	0.306
3	3	3_p03_H01	H1	16	1	0.275
3	3	3_p03_A02	A2	16	1	0.290
3	3	3_p03_B02	B2	16	1	0.332
3	3	3_p03_C02	C2	16	1	0.238
3	3	3_p03_D02	D2	16	1	0.307
3	3	3_p03_E02	E2	16	1	0.321
3	3	3_p03_F02	F2	16	1	0.317
3	3	3_p03_G02	G2	16	1	0.322
3	3	3_p03_H02	H2	16	1	0.289
3	3	3_p03_A03	A3	16	1	0.339
3	3	3_p03_B03	B3	16	1	0.367
3	3	3_p03_C03	C3	16	1	0.273
3	3	3_p03_D03	D3	16	1	0.275
3	3	3_p03_E03	E3	16	1	0.320
3	3	3_p03_F03	F3	16	1	0.328
3	3	3_p03_G03	G3	16	1	0.369
3	3	3_p03_H03	H3	16	1	0.275
3	3	3_p03_A04	A4	16	1	0.314
3	3	3_p03_B04	B4	16	1	0.325
3	3	3_p03_C04	C4	16	1	0.319
3	3	3_p03_D04	D4	16	1	0.299
