transfer	n_species	sample	well	strep_conc	replicate	OD
3	3	3_p02_G04	G4	0	2	0.313
3	3	3_p02_H04	H4	0	2	0.375
3	3	3_p02_A05	A5	0	2	0.324
3	3	3_p02_B05	B5	0	2	0.327
3	3	3_p02_C05	C5	0	2	0.287
3	3	3_p02_D05	D5	0	2	0.345
3	3	3_p02_E05	E5	0	2	0.385
3	3	3_p02_F05	F5	0	2	0.384
3	3	3_p02_G05	G5	0	2	0.305
3	3	3_p02_H05	H5	0	2	0.332
3	3	3_p02_A06	A6	0	2	0.317
3	3	3_p02_B06	B6	0	2	0.312
3	3	3_p02_C06	C6	0	2	0.337
3	3	3_p02_D06	D6	0	2	0.340
3	3	3_p02_E06	E6	0	2	0.370
3	3	3_p02_F06	F6	0	2	0.359
3	3	3_p02_G06	G6	0	2	0.328
3	3	3_p02_H06	H6	0	2	0.326
3	3	3_p02_A07	A7	0	2	0.323
3	3	3_p02_B07	B7	0	2	0.312
3	3	3_p02_C07	C7	0	2	0.296
3	3	3_p02_D07	D7	0	2	0.284
3	3	3_p02_E07	E7	0	2	0.356
3	3	3_p02_F07	F7	0	2	0.352
3	3	3_p02_G07	G7	0	2	0.308
3	3	3_p02_H07	H7	0	2	0.307
3	3	3_p02_A08	A8	0	2	0.316
3	3	3_p02_B08	B8	0	2	0.306
3	3	3_p02_C08	C8	0	2	0.317
3	3	3_p02_D08	D8	0	2	0.315
3	3	3_p02_E08	E8	0	2	0.344
3	3	3_p02_F08	F8	0	2	0.324
3	3	3_p02_G08	G8	0	2	0.312
3	3	3_p02_H08	H8	0	2	0.330
3	3	3_p02_A09	A9	0	2	0.378
3	3	3_p02_B09	B9	0	2	0.372
3	3	3_p02_C09	C9	0	2	0.339
3	3	3_p02_D09	D9	0	2	0.339
3	3	3_p02_E09	E9	0	2	0.341
3	3	3_p02_F09	F9	0	2	0.333
3	3	3_p02_G09	G9	0	2	0.306
3	3	3_p02_H09	H9	0	2	0.268
3	3	3_p02_A10	A10	0	2	0.373
3	3	3_p02_B10	B10	0	2	0.359
3	3	3_p02_C10	C10	0	2	0.359
3	3	3_p02_D10	D10	0	2	0.364
3	3	3_p02_E10	E10	0	2	0.309
3	3	3_p02_F10	F10	0	2	0.300
3	3	3_p02_G10	G10	0	2	0.315
3	3	3_p02_H10	H10	0	2	0.274
3	3	3_p02_A11	A11	0	2	0.371
3	3	3_p02_B11	B11	0	2	0.370
3	3	3_p02_C11	C11	0	2	0.343
3	3	3_p02_D11	D11	0	2	0.330
3	3	3_p02_E11	E11	0	2	0.339
3	3	3_p02_F11	F11	0	2	0.323
3	3	3_p02_G11	G11	0	2	0.302
3	3	3_p02_H11	H11	0	2	0.227
3	3	3_p02_A12	A12	0	2	0.352
3	3	3_p02_B12	B12	0	2	0.376
3	3	3_p02_C12	C12	0	2	0.353
3	3	3_p02_D12	D12	0	2	0.324
3	3	3_p02_E12	E12	0	2	0.369
3	3	3_p02_F12	F12	0	2	0.319
3	3	3_p02_G12	G12	0	2	0.310
3	3	3_p02_H12	H12	0	2	0.348
5	3	3_p01_A01	A1	0	1	0.349
5	3	3_p01_B01	B1	0	1	0.319
5	3	3_p01_C01	C1	0	1	0.343
5	3	3_p01_D01	D1	0	1	0.353
5	3	3_p01_E01	E1	0	1	0.334
5	3	3_p01_F01	F1	0	1	0.315
5	3	3_p01_G01	G1	0	1	0.374
5	3	3_p01_H01	H1	0	1	0.393
5	3	3_p01_A02	A2	0	1	0.34
5	3	3_p01_B02	B2	0	1	0.326
5	3	3_p01_C02	C2	0	1	0.362
5	3	3_p01_D02	D2	0	1	0.332
5	3	3_p01_E02	E2	0	1	0.313
5	3	3_p01_F02	F2	0	1	0.312
5	3	3_p01_G02	G2	0	1	0.33
5	3	3_p01_H02	H2	0	1	0.39
5	3	3_p01_A03	A3	0	1	0.318
5	3	3_p01_B03	B3	0	1	0.321
5	3	3_p01_C03	C3	0	1	0.288
5	3	3_p01_D03	D3	0	1	0.342
5	3	3_p01_E03	E3	0	1	0.319
5	3	3_p01_F03	F3	0	1	0.317
5	3	3_p01_G03	G3	0	1	0.401
5	3	3_p01_H03	H3	0	1	0.395
5	3	3_p01_A04	A4	0	1	0.328
5	3	3_p01_B04	B4	0	1	0.325
5	3	3_p01_C04	C4	0	1	0.316
5	3	3_p01_D04	D4	0	1	0.311
5	3	3_p01_E04	E4	0	1	0.318
5	3	3_p01_F04	F4	0	1	0.33
5	3	3_p01_G04	G4	0	1	0.312
5	3	3_p01_H04	H4	0	1	0.391
5	3	3_p01_A05	A5	0	1	0.274
5	3	3_p01_B05	B5	0	1	0.337
5	3	3_p01_C05	C5	0	1	0.29
5	3	3_p01_D05	D5	0	1	0.369
5	3	3_p01_E05	E5	0	1	0.396
5	3	3_p01_F05	F5	0	1	0.389
5	3	3_p01_G05	G5	0	1	0.314
5	3	3_p01_H05	H5	0	1	0.342
5	3	3_p01_A06	A6	0	1	0.334
5	3	3_p01_B06	B6	0	1	0.32
5	3	3_p01_C06	C6	0	1	0.343
5	3	3_p01_D06	D6	0	1	0.335
5	3	3_p01_E06	E6	0	1	0.37
5	3	3_p01_F06	F6	0	1	0.382
5	3	3_p01_G06	G6	0	1	0.324
5	3	3_p01_H06	H6	0	1	0.278
5	3	3_p01_A07	A7	0	1	0.333
5	3	3_p01_B07	B7	0	1	0.335
5	3	3_p01_C07	C7	0	1	0.296
5	3	3_p01_D07	D7	0	1	0.282
5	3	3_p01_E07	E7	0	1	0.349
5	3	3_p01_F07	F7	0	1	0.346
5	3	3_p01_G07	G7	0	1	0.313
5	3	3_p01_H07	H7	0	1	0.348
5	3	3_p01_A08	A8	0	1	0.325
5	3	3_p01_B08	B8	0	1	0.313
5	3	3_p01_C08	C8	0	1	0.245
5	3	3_p01_D08	D8	0	1	0.322
5	3	3_p01_E08	E8	0	1	0.334
5	3	3_p01_F08	F8	0	1	0.312
5	3	3_p01_G08	G8	0	1	0.316
5	3	3_p01_H08	H8	0	1	0.339
5	3	3_p01_A09	A9	0	1	0.388
5	3	3_p01_B09	B9	0	1	0.388
5	3	3_p01_C09	C9	0	1	0.324
5	3	3_p01_D09	D9	0	1	0.333
5	3	3_p01_E09	E9	0	1	0.334
5	3	3_p01_F09	F9	0	1	0.284
5	3	3_p01_G09	G9	0	1	0.318
5	3	3_p01_H09	H9	0	1	0.288
5	3	3_p01_A10	A10	0	1	0.38
5	3	3_p01_B10	B10	0	1	0.372
5	3	3_p01_C10	C10	0	1	0.353
5	3	3_p01_D10	D10	0	1	0.328
5	3	3_p01_E10	E10	0	1	0.3
5	3	3_p01_F10	F10	0	1	0.321
5	3	3_p01_G10	G10	0	1	0.318
5	3	3_p01_H10	H10	0	1	0.387
5	3	3_p01_A11	A11	0	1	0.384
5	3	3_p01_B11	B11	0	1	0.386
5	3	3_p01_C11	C11	0	1	0.323
5	3	3_p01_D11	D11	0	1	0.353
5	3	3_p01_E11	E11	0	1	0.322
5	3	3_p01_F11	F11	0	1	0.341
5	3	3_p01_G11	G11	0	1	0.317
5	3	3_p01_H11	H11	0	1	0.281
5	3	3_p01_A12	A12	0	1	0.371
5	3	3_p01_B12	B12	0	1	0.379
5	3	3_p01_C12	C12	0	1	0.335
5	3	3_p01_D12	D12	0	1	0.322
5	3	3_p01_E12	E12	0	1	0.32
5	3	3_p01_F12	F12	0	1	0.331
5	3	3_p01_G12	G12	0	1	0.313
5	3	3_p01_H12	H12	0	1	0.324
5	3	3_p02_A01	A1	0	2	0.34
5	3	3_p02_B01	B1	0	2	0.313
5	3	3_p02_C01	C1	0	2	0.331
5	3	3_p02_D01	D1	0	2	0.326
5	3	3_p02_E01	E1	0	2	0.324
5	3	3_p02_F01	F1	0	2	0.246
5	3	3_p02_G01	G1	0	2	0.349
5	3	3_p02_H01	H1	0	2	0.377
5	3	3_p02_A02	A2	0	2	0.298
5	3	3_p02_B02	B2	0	2	0.314
5	3	3_p02_C02	C2	0	2	0.355
5	3	3_p02_D02	D2	0	2	0.338
5	3	3_p02_E02	E2	0	2	0.342
5	3	3_p02_F02	F2	0	2	0.303
5	3	3_p02_G02	G2	0	2	0.314
5	3	3_p02_H02	H2	0	2	0.393
5	3	3_p02_A03	A3	0	2	0.3
5	3	3_p02_B03	B3	0	2	0.311
5	3	3_p02_C03	C3	0	2	0.344
5	3	3_p02_D03	D3	0	2	0.266
5	3	3_p02_E03	E3	0	2	0.311
5	3	3_p02_F03	F3	0	2	0.312
5	3	3_p02_G03	G3	0	2	0.39
5	3	3_p02_H03	H3	0	2	0.4
5	3	3_p02_A04	A4	0	2	0.292
5	3	3_p02_B04	B4	0	2	0.304
5	3	3_p02_C04	C4	0	2	0.313
5	3	3_p02_D04	D4	0	2	0.285
5	3	3_p02_E04	E4	0	2	0.307
5	3	3_p02_F04	F4	0	2	0.308
5	3	3_p02_G04	G4	0	2	0.309
5	3	3_p02_H04	H4	0	2	0.399
5	3	3_p02_A05	A5	0	2	0.306
5	3	3_p02_B05	B5	0	2	0.327
5	3	3_p02_C05	C5	0	2	0.291
5	3	3_p02_D05	D5	0	2	0.329
5	3	3_p02_E05	E5	0	2	0.374
5	3	3_p02_F05	F5	0	2	0.382
5	3	3_p02_G05	G5	0	2	0.314
5	3	3_p02_H05	H5	0	2	0.363
5	3	3_p02_A06	A6	0	2	0.311
5	3	3_p02_B06	B6	0	2	0.322
5	3	3_p02_C06	C6	0	2	0.337
5	3	3_p02_D06	D6	0	2	0.341
5	3	3_p02_E06	E6	0	2	0.37
5	3	3_p02_F06	F6	0	2	0.375
5	3	3_p02_G06	G6	0	2	0.327
5	3	3_p02_H06	H6	0	2	0.351
5	3	3_p02_A07	A7	0	2	0.317
5	3	3_p02_B07	B7	0	2	0.319
5	3	3_p02_C07	C7	0	2	0.288
5	3	3_p02_D07	D7	0	2	0.279
5	3	3_p02_E07	E7	0	2	0.33
5	3	3_p02_F07	F7	0	2	0.338
5	3	3_p02_G07	G7	0	2	0.314
5	3	3_p02_H07	H7	0	2	0.369
5	3	3_p02_A08	A8	0	2	0.309
5	3	3_p02_B08	B8	0	2	0.312
5	3	3_p02_C08	C8	0	2	0.318
5	3	3_p02_D08	D8	0	2	0.309
5	3	3_p02_E08	E8	0	2	0.34
5	3	3_p02_F08	F8	0	2	0.332
5	3	3_p02_G08	G8	0	2	0.317
5	3	3_p02_H08	H8	0	2	0.359
5	3	3_p02_A09	A9	0	2	0.371
5	3	3_p02_B09	B9	0	2	0.379
5	3	3_p02_C09	C9	0	2	0.336
5	3	3_p02_D09	D9	0	2	0.347
5	3	3_p02_E09	E9	0	2	0.34
5	3	3_p02_F09	F9	0	2	0.343
5	3	3_p02_G09	G9	0	2	0.318
5	3	3_p02_H09	H9	0	2	0.295
5	3	3_p02_A10	A10	0	2	0.378
5	3	3_p02_B10	B10	0	2	0.384
5	3	3_p02_C10	C10	0	2	0.343
5	3	3_p02_D10	D10	0	2	0.319
5	3	3_p02_E10	E10	0	2	0.311
5	3	3_p02_F10	F10	0	2	0.303
5	3	3_p02_G10	G10	0	2	0.32
5	3	3_p02_H10	H10	0	2	0.278
5	3	3_p02_A11	A11	0	2	0.379
5	3	3_p02_B11	B11	0	2	0.383
5	3	3_p02_C11	C11	0	2	0.328
5	3	3_p02_D11	D11	0	2	0.346
5	3	3_p02_E11	E11	0	2	0.41
5	3	3_p02_F11	F11	0	2	0.343
5	3	3_p02_G11	G11	0	2	0.314
5	3	3_p02_H11	H11	0	2	0.248
5	3	3_p02_A12	A12	0	2	0.379
5	3	3_p02_B12	B12	0	2	0.382
5	3	3_p02_C12	C12	0	2	0.329
5	3	3_p02_D12	D12	0	2	0.312
5	3	3_p02_E12	E12	0	2	0.342
5	3	3_p02_F12	F12	0	2	0.346
5	3	3_p02_G12	G12	0	2	0.325
5	3	3_p02_H12	H12	0	2	0.349
7	3	3_p01_A01	A1	0	1	0.338
7	3	3_p01_B01	B1	0	1	0.308
7	3	3_p01_C01	C1	0	1	0.331
7	3	3_p01_D01	D1	0	1	0.323
7	3	3_p01_E01	E1	0	1	0.325
7	3	3_p01_F01	F1	0	1	0.324
7	3	3_p01_G01	G1	0	1	0.353
7	3	3_p01_H01	H1	0	1	0.406
7	3	3_p01_A02	A2	0	1	0.297
7	3	3_p01_B02	B2	0	1	0.318
7	3	3_p01_C02	C2	0	1	0.351
7	3	3_p01_D02	D2	0	1	0.342
7	3	3_p01_E02	E2	0	1	0.322
7	3	3_p01_F02	F2	0	1	0.325
7	3	3_p01_G02	G2	0	1	0.328
7	3	3_p01_H02	H2	0	1	0.4
7	3	3_p01_A03	A3	0	1	0.312
7	3	3_p01_B03	B3	0	1	0.35
7	3	3_p01_C03	C3	0	1	0.282
7	3	3_p01_D03	D3	0	1	0.344
7	3	3_p01_E03	E3	0	1	0.329
7	3	3_p01_F03	F3	0	1	0.327
7	3	3_p01_G03	G3	0	1	0.392
7	3	3_p01_H03	H3	0	1	0.383
7	3	3_p01_A04	A4	0	1	0.32
7	3	3_p01_B04	B4	0	1	0.334
7	3	3_p01_C04	C4	0	1	0.322
7	3	3_p01_D04	D4	0	1	0.324
