sample	strainID	f_metacal
T34_s_0	HAMBI_1977	0.027364909855505857
T35_1_0	HAMBI_1287	0.09578807444335546
T35_1_0	HAMBI_0403	0.02000896046461666
T35_1_0	HAMBI_1977	0.8842029650920279
T35_2_0	HAMBI_1287	0.12273842422849432
T35_2_0	HAMBI_0403	0.034080164769467944
T35_2_0	HAMBI_1977	0.8431814110020378
T35_s_0	HAMBI_1287	0.6592025380750529
T35_s_0	HAMBI_0403	0.2750410133086277
T35_s_0	HAMBI_1977	0.06575644861631935
T36_1_0	HAMBI_1287	0.08625793937138072
T36_1_0	HAMBI_0403	0.01953236858252542
T36_1_0	HAMBI_1977	0.8942096920460938
T36_2_0	HAMBI_1287	0.11908139758445006
T36_2_0	HAMBI_0403	0.04974930313997642
T36_2_0	HAMBI_1977	0.8311692992755735
T36_s_0	HAMBI_1287	0.14939077295910821
T36_s_0	HAMBI_0403	0.3020491656192027
T36_s_0	HAMBI_1977	0.5485600614216891
T37_1_0	HAMBI_1287	0.8259592066034653
T37_1_0	HAMBI_0403	5.502103366974611e-4
T37_1_0	HAMBI_1977	0.1734905830598372
T37_2_0	HAMBI_1287	0.8278555947039768
T37_2_0	HAMBI_0403	0.0027280490067703453
T37_2_0	HAMBI_1977	0.16941635628925283
T37_s_0	HAMBI_1287	0.07396258966007954
T37_s_0	HAMBI_0403	0.8863329952011245
T37_s_0	HAMBI_1977	0.039704415138795864
T38_1_0	HAMBI_1287	0.8169435818055693
T38_1_0	HAMBI_0403	5.200623777792451e-4
T38_1_0	HAMBI_1977	0.18253635581665154
T38_2_0	HAMBI_1287	0.7963387987654169
T38_2_0	HAMBI_0403	0.0023493494114810052
T38_2_0	HAMBI_1977	0.20131185182310204
T38_s_0	HAMBI_1287	0.6368767181916202
T38_s_0	HAMBI_0403	0.25924205411934487
T38_s_0	HAMBI_1977	0.10388122768903496
T39_1_0	HAMBI_1287	0.8255640943717965
T39_1_0	HAMBI_0403	0.001067125215975168
T39_1_0	HAMBI_1977	0.1733687804122285
T39_2_0	HAMBI_1287	0.8132054936451403
T39_2_0	HAMBI_0403	0.0012376835888516335
T39_2_0	HAMBI_1977	0.18555682276600802
T39_s_0	HAMBI_1287	0.05766624743084687
T39_s_0	HAMBI_0403	0.2880644816282921
T39_s_0	HAMBI_1977	0.6542692709408611
T40_1_0	HAMBI_1287	0.8589158337930259
T40_1_0	HAMBI_0403	5.604942166819137e-4
T40_1_0	HAMBI_1977	0.14052367199029223
T40_2_0	HAMBI_1287	0.8118474182155829
T40_2_0	HAMBI_0403	0.10997227615155518
T40_2_0	HAMBI_1977	0.07818030563286196
T40_s_0	HAMBI_1287	0.0375450274999448
T40_s_0	HAMBI_0403	0.9325108355336567
T40_s_0	HAMBI_1977	0.02994413696639852
T41_1_0	HAMBI_1287	0.8287510194676776
T41_1_0	HAMBI_0403	4.749755834446971e-4
T41_1_0	HAMBI_1977	0.1707740049488777
T41_2_0	HAMBI_1287	0.9707534084333684
T41_2_0	HAMBI_0403	0.0017867506853962748
T41_2_0	HAMBI_1977	0.0274598408812354
T41_s_0	HAMBI_1287	0.6702955572927232
T41_s_0	HAMBI_0403	0.25833982751713086
T41_s_0	HAMBI_1977	0.07136461519014609
T42_1_0	HAMBI_1287	0.8296948434791029
T42_1_0	HAMBI_0403	3.7303323540333223e-4
T42_1_0	HAMBI_1977	0.1699321232854937
T42_2_0	HAMBI_1287	0.8353814203932192
T42_2_0	HAMBI_0403	0.0026611637190287855
T42_2_0	HAMBI_1977	0.161957415887752
T42_s_0	HAMBI_1287	0.13771575351582657
T42_s_0	HAMBI_0403	0.2642157029589332
T42_s_0	HAMBI_1977	0.5980685435252402
T43_1_0	HAMBI_1287	0.12846082076316126
T43_1_0	HAMBI_0403	0.033791285073750316
T43_1_0	HAMBI_1977	0.8377478941630884
T43_2_0	HAMBI_1287	0.16104834234672621
T43_2_0	HAMBI_0403	0.05523088542152652
T43_2_0	HAMBI_1977	0.7837207722317472
T43_s_0	HAMBI_1287	0.08101505535537695
T43_s_0	HAMBI_0403	0.8743634824424514
T43_s_0	HAMBI_1977	0.04462146220217168
T44_1_0	HAMBI_1287	0.11409475691087306
T44_1_0	HAMBI_0403	0.0015729098207292475
T44_1_0	HAMBI_1977	0.8843323332683978
T44_2_0	HAMBI_1287	0.14441751817065634
T44_2_0	HAMBI_0403	0.0017545534450916086
T44_2_0	HAMBI_1977	0.853827928384252
T44_s_0	HAMBI_1287	0.6570699325979582
T44_s_0	HAMBI_0403	0.24936307050563794
T44_s_0	HAMBI_1977	0.09356699689640387
T45_1_0	HAMBI_1287	0.5964602370376536
T45_1_0	HAMBI_0403	0.3288216247167706
T45_1_0	HAMBI_1977	0.0747181382455757
T45_2_0	HAMBI_1287	0.7611303699077863
T45_2_0	HAMBI_0403	0.002174111448993418
T45_2_0	HAMBI_1977	0.23669551864322025
T45_s_0	HAMBI_1287	0.19576514316272073
T45_s_0	HAMBI_0403	0.28536853728274386
T45_s_0	HAMBI_1977	0.5188663195545354
T46_2_0	HAMBI_1287	0.19286624434734292
T46_2_0	HAMBI_0403	0.03280973223885607
T46_2_0	HAMBI_1977	0.774324023413801
T46_s_0	HAMBI_1287	0.05463277229392058
T46_s_0	HAMBI_0403	0.9112304122513949
T46_s_0	HAMBI_1977	0.034136815454684416
T47_1_0	HAMBI_1287	0.12153155304461753
T47_1_0	HAMBI_0403	0.018945286045047458
T47_1_0	HAMBI_1977	0.859523160910335
T47_2_0	HAMBI_1287	0.11457420058639078
T47_2_0	HAMBI_0403	0.02910171441995808
T47_2_0	HAMBI_1977	0.8563240849936511
T47_s_0	HAMBI_1287	0.6935386511983811
T47_s_0	HAMBI_0403	0.23813742520129108
T47_s_0	HAMBI_1977	0.06832392360032788
T48_1_0	HAMBI_1287	0.2024504794968669
T48_1_0	HAMBI_0403	0.12718462928048677
T48_1_0	HAMBI_1977	0.6703648912226463
T48_2_0	HAMBI_1287	0.25434429355241683
T48_2_0	HAMBI_0403	0.12158850696828002
T48_2_0	HAMBI_1977	0.6240671994793031
T48_s_0	HAMBI_1287	0.1388759941669861
T48_s_0	HAMBI_0403	0.2778840195284665
T48_s_0	HAMBI_1977	0.5832399863045474
T49_1_0	HAMBI_0403	0.02472982888994222
T49_1_0	HAMBI_1896	0.2920261499905521
T49_1_0	HAMBI_1977	0.6832440211195058
T49_2_0	HAMBI_0403	0.02437790307459994
T49_2_0	HAMBI_1896	0.31559171888465415
T49_2_0	HAMBI_1977	0.6600303780407459
T49_s_0	HAMBI_0403	0.8880322479662827
T49_s_0	HAMBI_1896	0.07344417534886069
T49_s_0	HAMBI_1977	0.03852357668485662
T50_1_0	HAMBI_0403	0.02794685982673175
T50_1_0	HAMBI_1896	0.2632829568385279
T50_1_0	HAMBI_1977	0.7087701833347403
T50_2_0	HAMBI_0403	0.0334008838706068
T50_2_0	HAMBI_1896	0.29270789492692445
T50_2_0	HAMBI_1977	0.6738912212024688
T50_s_0	HAMBI_0403	0.256726943349278
T50_s_0	HAMBI_1896	0.6701262247644392
T50_s_0	HAMBI_1977	0.07314683188628285
T51_1_0	HAMBI_0403	0.022759427850810605
T51_1_0	HAMBI_1896	0.26687417227951227
T51_1_0	HAMBI_1977	0.7103663998696771
T51_2_0	HAMBI_0403	0.021567645070351995
T51_2_0	HAMBI_1896	0.29347306604878765
T51_2_0	HAMBI_1977	0.6849592888808603
T51_s_0	HAMBI_0403	0.2959334940057928
T51_s_0	HAMBI_1896	0.16129211826257778
T51_s_0	HAMBI_1977	0.5427743877316294
T52_1_0	HAMBI_0403	0.020335559309125558
T52_1_0	HAMBI_1896	0.2545973971336786
T52_1_0	HAMBI_1977	0.7250670435571959
T52_2_0	HAMBI_0403	0.017584272803879555
T52_2_0	HAMBI_1896	0.28670388625617116
T52_2_0	HAMBI_1977	0.6957118409399493
T52_s_0	HAMBI_0403	0.9023028942013818
T52_s_0	HAMBI_1896	0.07068371789515226
T52_s_0	HAMBI_1977	0.02701338790346601
T53_1_0	HAMBI_0403	0.02276045463413289
T53_1_0	HAMBI_1896	0.2852694389852193
T53_1_0	HAMBI_1977	0.6919701063806478
T53_2_0	HAMBI_0403	0.08016829530606906
T53_2_0	HAMBI_1896	0.28562011767177276
T53_2_0	HAMBI_1977	0.6342115870221582
T53_s_0	HAMBI_0403	0.272816786568446
T53_s_0	HAMBI_1896	0.6479547326617126
T53_s_0	HAMBI_1977	0.0792284807698415
T54_1_0	HAMBI_0403	0.014300339623565222
T54_1_0	HAMBI_1896	0.2665956922298941
T54_1_0	HAMBI_1977	0.7191039681465407
T54_2_0	HAMBI_0403	0.02907550668299369
T54_2_0	HAMBI_1896	0.2772310563955337
T54_2_0	HAMBI_1977	0.6936934369214727
T54_s_0	HAMBI_0403	0.29288990766684436
T54_s_0	HAMBI_1896	0.1683392131647977
T54_s_0	HAMBI_1977	0.5387708791683579
T55_1_0	HAMBI_0403	0.051045239641588504
T55_1_0	HAMBI_1896	0.15371833199012253
T55_1_0	HAMBI_1977	0.795236428368289
T55_2_0	HAMBI_0403	0.03937957149503387
T55_2_0	HAMBI_1896	0.21342524872975785
T55_2_0	HAMBI_1977	0.7471951797752083
T55_s_0	HAMBI_0403	0.8776378368384143
T55_s_0	HAMBI_1896	0.0745044235410919
T55_s_0	HAMBI_1977	0.04785773962049383
T56_1_0	HAMBI_0403	0.03976084575561021
T56_1_0	HAMBI_1896	0.16425109404500635
T56_1_0	HAMBI_1977	0.7959880601993834
T56_2_0	HAMBI_0403	0.05622933357125094
T56_2_0	HAMBI_1896	0.16897826985495518
T56_2_0	HAMBI_1977	0.7747923965737938
T56_s_0	HAMBI_0403	0.2870232963620168
T56_s_0	HAMBI_1896	0.6391371499729561
T56_s_0	HAMBI_1977	0.0738395536650271
T57_1_0	HAMBI_0403	0.030805509133861538
T57_1_0	HAMBI_1896	0.16096097097991288
T57_1_0	HAMBI_1977	0.8082335198862255
T57_2_0	HAMBI_0403	0.0891553983384608
T57_2_0	HAMBI_1896	0.16276723516935263
T57_2_0	HAMBI_1977	0.7480773664921867
T57_s_0	HAMBI_0403	0.2818584479025562
T57_s_0	HAMBI_1896	0.15425729895249862
T57_s_0	HAMBI_1977	0.5638842531449451
T58_s_0	HAMBI_0403	0.8971056515752664
T58_s_0	HAMBI_1896	0.07726550575010856
T58_s_0	HAMBI_1977	0.025628842674625042
T59_1_0	HAMBI_0403	0.02601129351976282
T59_1_0	HAMBI_1896	0.17474252686761657
T59_1_0	HAMBI_1977	0.7992461796126206
T59_2_0	HAMBI_0403	0.02612078052706227
T59_2_0	HAMBI_1896	0.18177909619749308
T59_2_0	HAMBI_1977	0.7921001232754447
T59_s_0	HAMBI_0403	0.2543445512932134
T59_s_0	HAMBI_1896	0.6832090789569903
T59_s_0	HAMBI_1977	0.06244636974979622
T60_1_0	HAMBI_0403	0.029829079848426514
T60_1_0	HAMBI_1896	0.1636887131218525
T60_1_0	HAMBI_1977	0.806482207029721
T60_2_0	HAMBI_0403	0.021055588108112127
T60_2_0	HAMBI_1896	0.1498060708829388
T60_2_0	HAMBI_1977	0.8291383410089491
T60_s_0	HAMBI_0403	0.2941167500090627
T60_s_0	HAMBI_1896	0.15317650321106885
T60_s_0	HAMBI_1977	0.5527067467798684
T61_1_0	HAMBI_0403	0.2477986281793075
T61_1_0	HAMBI_1896	0.30344502182832883
T61_1_0	HAMBI_1977	0.4487563499923637
T61_2_0	HAMBI_0403	0.2629694338620285
T61_2_0	HAMBI_1896	0.32628749236574894
T61_2_0	HAMBI_1977	0.4107430737722225
T61_s_0	HAMBI_0403	0.8726582540305863
T61_s_0	HAMBI_1896	0.0777567324925433
T61_s_0	HAMBI_1977	0.04958501347687035
T62_1_0	HAMBI_0403	0.1057798671237738
T62_1_0	HAMBI_1896	0.325473959475548
T62_1_0	HAMBI_1977	0.5687461734006781
T62_2_0	HAMBI_0403	0.09900451923553821
T62_2_0	HAMBI_1896	0.34992347166391535
T62_2_0	HAMBI_1977	0.5510720091005464
T62_s_0	HAMBI_0403	0.2642492471221789
T62_s_0	HAMBI_1896	0.6392461453237357
T62_s_0	HAMBI_1977	0.09650460755408535
T63_1_0	HAMBI_0403	0.058605380604668994
T63_1_0	HAMBI_1896	0.32179223266632534
T63_1_0	HAMBI_1977	0.6196023867290056
T63_2_0	HAMBI_0403	0.3105174690043708
T63_2_0	HAMBI_1896	0.25373819483295007
T63_2_0	HAMBI_1977	0.4357443361626792
T63_s_0	HAMBI_0403	0.29886719370853376
T63_s_0	HAMBI_1896	0.16908950406273265
T63_s_0	HAMBI_1977	0.5320433022287335
T64_1_0	HAMBI_0403	0.14193438511101594
T64_1_0	HAMBI_1896	0.3194411890766331
T64_1_0	HAMBI_1977	0.538624425812351
T64_2_0	HAMBI_0403	0.20534361382683516
T64_2_0	HAMBI_1896	0.36665134158824825
T64_2_0	HAMBI_1977	0.4280050445849165
T64_s_0	HAMBI_0403	0.9054763896816156
T64_s_0	HAMBI_1896	0.06034886910082858
T64_s_0	HAMBI_1977	0.03417474121755592
T65_1_0	HAMBI_0403	0.05173084083188863
T65_1_0	HAMBI_1896	0.34402440688223396
T65_1_0	HAMBI_1977	0.6042447522858774
T65_2_0	HAMBI_0403	0.19644387715770584
T65_2_0	HAMBI_1896	0.30094674294214785
T65_2_0	HAMBI_1977	0.5026093799001462
T65_s_0	HAMBI_0403	0.22800981174874763
T65_s_0	HAMBI_1896	0.7013709691930282
T65_s_0	HAMBI_1977	0.07061921905822427
T66_1_0	HAMBI_0403	0.03347670900646517
T66_1_0	HAMBI_1896	0.3441641663032037
T66_1_0	HAMBI_1977	0.6223591246903312
T66_2_0	HAMBI_0403	0.053984136716413195
T66_2_0	HAMBI_1896	0.35370801002199576
T66_2_0	HAMBI_1977	0.592307853261591
T66_s_0	HAMBI_0403	0.3073781479852763
T66_s_0	HAMBI_1896	0.15495253567250752
T66_s_0	HAMBI_1977	0.5376693163422163
T67_1_0	HAMBI_0403	0.12274050504372214
T67_1_0	HAMBI_1896	0.15777203984608296
T67_1_0	HAMBI_1977	0.719487455110195
T67_2_0	HAMBI_0403	0.15949775820948736
T67_2_0	HAMBI_1896	0.22934813089755426
T67_2_0	HAMBI_1977	0.6111541108929583
T67_s_0	HAMBI_0403	0.8689397756184414
T67_s_0	HAMBI_1896	0.08336600938462413
T67_s_0	HAMBI_1977	0.04769421499693448
T68_1_0	HAMBI_0403	0.059747525544032454
T68_1_0	HAMBI_1896	0.18144014523330776
T68_1_0	HAMBI_1977	0.7588123292226598
T68_2_0	HAMBI_0403	0.2466101121474981
T68_2_0	HAMBI_1896	0.14993950989226384
T68_2_0	HAMBI_1977	0.603450377960238
T68_s_0	HAMBI_0403	0.28088301173129476
T68_s_0	HAMBI_1896	0.6435676091337204
T68_s_0	HAMBI_1977	0.07554937913498488
T69_1_0	HAMBI_0403	0.05424997418696316
T69_1_0	HAMBI_1896	0.17790065470722397
T69_1_0	HAMBI_1977	0.7678493711058129
T69_2_0	HAMBI_0403	0.25656440314598056
T69_2_0	HAMBI_1896	0.19542202065200562
T69_2_0	HAMBI_1977	0.5480135762020139
T69_s_0	HAMBI_0403	0.28790650149643376
T69_s_0	HAMBI_1896	0.16578586605773668
T69_s_0	HAMBI_1977	0.5463076324458295
T70_1_0	HAMBI_0403	0.11350801951374577
T70_1_0	HAMBI_1896	0.1482718639346928
T70_1_0	HAMBI_1977	0.7382201165515614
T70_2_0	HAMBI_0403	0.052078972035576945
T70_2_0	HAMBI_1896	0.22742387957638602
T70_2_0	HAMBI_1977	0.720497148388037
T70_s_0	HAMBI_0403	0.8747811505322507
T70_s_0	HAMBI_1896	0.07866566746705231
T70_s_0	HAMBI_1977	0.04655318200069703
T71_1_0	HAMBI_0403	0.033303801615340634
T71_1_0	HAMBI_1896	0.18403452484732086
T71_1_0	HAMBI_1977	0.7826616735373385
T71_2_0	HAMBI_0403	0.13013283919003604
T71_2_0	HAMBI_1896	0.19662719329612416
T71_2_0	HAMBI_1977	0.6732399675138397
T71_s_0	HAMBI_0403	0.2854298935199121
T71_s_0	HAMBI_1896	0.6385624900098147
T71_s_0	HAMBI_1977	0.07600761647027324
T72_1_0	HAMBI_0403	0.028735516283382036
