sample	evo_hist	strainID	target_f
3_p01_H11	evo	HAMBI_1977	0.1
3_p01_H11	anc	HAMBI_1896	0.1
3_p01_H12	evo	HAMBI_1287	0.8
3_p01_H12	evo	HAMBI_1977	0.1
3_p01_H12	evo	HAMBI_1896	0.1
3_p02_A01	anc	HAMBI_0403	0.1
3_p02_A01	anc	HAMBI_1287	0.1
3_p02_A01	anc	HAMBI_1896	0.8
3_p02_A02	anc	HAMBI_0403	0.1
3_p02_A02	anc	HAMBI_1287	0.1
3_p02_A02	anc	HAMBI_1977	0.8
3_p02_A03	anc	HAMBI_0403	0.1
3_p02_A03	anc	HAMBI_1287	0.1
3_p02_A03	evo	HAMBI_1896	0.8
3_p02_A04	anc	HAMBI_0403	0.1
3_p02_A04	anc	HAMBI_1287	0.1
3_p02_A04	evo	HAMBI_1977	0.8
3_p02_A05	anc	HAMBI_0403	0.1
3_p02_A05	anc	HAMBI_1287	0.8
3_p02_A05	anc	HAMBI_1896	0.1
3_p02_A06	anc	HAMBI_0403	0.1
3_p02_A06	anc	HAMBI_1287	0.8
3_p02_A06	anc	HAMBI_1977	0.1
3_p02_A07	anc	HAMBI_0403	0.1
3_p02_A07	anc	HAMBI_1287	0.8
3_p02_A07	evo	HAMBI_1896	0.1
3_p02_A08	anc	HAMBI_0403	0.1
3_p02_A08	anc	HAMBI_1287	0.8
3_p02_A08	evo	HAMBI_1977	0.1
3_p02_A09	anc	HAMBI_0403	0.1
3_p02_A09	anc	HAMBI_1977	0.1
3_p02_A09	anc	HAMBI_1896	0.8
3_p02_A10	anc	HAMBI_0403	0.1
3_p02_A10	anc	HAMBI_1977	0.1
3_p02_A10	evo	HAMBI_1896	0.8
3_p02_A11	anc	HAMBI_0403	0.1
3_p02_A11	anc	HAMBI_1977	0.8
3_p02_A11	anc	HAMBI_1896	0.1
3_p02_A12	anc	HAMBI_0403	0.1
3_p02_A12	anc	HAMBI_1977	0.8
3_p02_A12	evo	HAMBI_1896	0.1
3_p02_C01	anc	HAMBI_0403	0.1
3_p02_C01	evo	HAMBI_1287	0.1
3_p02_C01	anc	HAMBI_1896	0.8
3_p02_C02	anc	HAMBI_0403	0.1
3_p02_C02	evo	HAMBI_1287	0.1
3_p02_C02	anc	HAMBI_1977	0.8
3_p02_C03	anc	HAMBI_0403	0.1
3_p02_C03	evo	HAMBI_1287	0.1
3_p02_C03	evo	HAMBI_1896	0.8
3_p02_C04	anc	HAMBI_0403	0.1
3_p02_C04	evo	HAMBI_1287	0.1
3_p02_C04	evo	HAMBI_1977	0.8
3_p02_C05	anc	HAMBI_0403	0.1
3_p02_C05	evo	HAMBI_1287	0.8
3_p02_C05	anc	HAMBI_1896	0.1
3_p02_C06	anc	HAMBI_0403	0.1
3_p02_C06	evo	HAMBI_1287	0.8
3_p02_C06	anc	HAMBI_1977	0.1
3_p02_C07	anc	HAMBI_0403	0.1
3_p02_C07	evo	HAMBI_1287	0.8
3_p02_C07	evo	HAMBI_1896	0.1
3_p02_C08	anc	HAMBI_0403	0.1
3_p02_C08	evo	HAMBI_1287	0.8
3_p02_C08	evo	HAMBI_1977	0.1
3_p02_C09	anc	HAMBI_0403	0.1
3_p02_C09	evo	HAMBI_1977	0.1
3_p02_C09	anc	HAMBI_1896	0.8
3_p02_C10	anc	HAMBI_0403	0.1
3_p02_C10	evo	HAMBI_1977	0.1
3_p02_C10	evo	HAMBI_1896	0.8
3_p02_C11	anc	HAMBI_0403	0.1
3_p02_C11	evo	HAMBI_1977	0.8
3_p02_C11	anc	HAMBI_1896	0.1
3_p02_C12	anc	HAMBI_0403	0.1
3_p02_C12	evo	HAMBI_1977	0.8
3_p02_C12	evo	HAMBI_1896	0.1
3_p02_E01	anc	HAMBI_0403	0.8
3_p02_E01	anc	HAMBI_1287	0.1
3_p02_E01	anc	HAMBI_1896	0.1
3_p02_E02	anc	HAMBI_0403	0.8
3_p02_E02	anc	HAMBI_1287	0.1
3_p02_E02	anc	HAMBI_1977	0.1
3_p02_E03	anc	HAMBI_0403	0.8
3_p02_E03	anc	HAMBI_1287	0.1
3_p02_E03	evo	HAMBI_1896	0.1
3_p02_E04	anc	HAMBI_0403	0.8
3_p02_E04	anc	HAMBI_1287	0.1
3_p02_E04	evo	HAMBI_1977	0.1
3_p02_E05	anc	HAMBI_0403	0.8
3_p02_E05	anc	HAMBI_1977	0.1
3_p02_E05	anc	HAMBI_1896	0.1
3_p02_E06	anc	HAMBI_0403	0.8
3_p02_E06	anc	HAMBI_1977	0.1
3_p02_E06	evo	HAMBI_1896	0.1
3_p02_E07	anc	HAMBI_0403	0.8
3_p02_E07	evo	HAMBI_1287	0.1
3_p02_E07	anc	HAMBI_1896	0.1
3_p02_E08	anc	HAMBI_0403	0.8
3_p02_E08	evo	HAMBI_1287	0.1
3_p02_E08	anc	HAMBI_1977	0.1
3_p02_E09	anc	HAMBI_0403	0.8
3_p02_E09	evo	HAMBI_1287	0.1
3_p02_E09	evo	HAMBI_1896	0.1
3_p02_E10	anc	HAMBI_0403	0.8
3_p02_E10	evo	HAMBI_1287	0.1
3_p02_E10	evo	HAMBI_1977	0.1
3_p02_E11	anc	HAMBI_0403	0.8
3_p02_E11	evo	HAMBI_1977	0.1
3_p02_E11	anc	HAMBI_1896	0.1
3_p02_E12	anc	HAMBI_0403	0.8
3_p02_E12	evo	HAMBI_1977	0.1
3_p02_E12	evo	HAMBI_1896	0.1
3_p02_G01	anc	HAMBI_1287	0.1
3_p02_G01	anc	HAMBI_1977	0.1
3_p02_G01	anc	HAMBI_1896	0.8
3_p02_G02	anc	HAMBI_1287	0.1
3_p02_G02	anc	HAMBI_1977	0.1
3_p02_G02	evo	HAMBI_1896	0.8
3_p02_G03	anc	HAMBI_1287	0.1
3_p02_G03	anc	HAMBI_1977	0.8
3_p02_G03	anc	HAMBI_1896	0.1
3_p02_G04	anc	HAMBI_1287	0.1
3_p02_G04	anc	HAMBI_1977	0.8
3_p02_G04	evo	HAMBI_1896	0.1
3_p02_G05	anc	HAMBI_1287	0.1
3_p02_G05	evo	HAMBI_1977	0.1
3_p02_G05	anc	HAMBI_1896	0.8
3_p02_G06	anc	HAMBI_1287	0.1
3_p02_G06	evo	HAMBI_1977	0.1
3_p02_G06	evo	HAMBI_1896	0.8
3_p02_G07	anc	HAMBI_1287	0.1
3_p02_G07	evo	HAMBI_1977	0.8
3_p02_G07	anc	HAMBI_1896	0.1
3_p02_G08	anc	HAMBI_1287	0.1
3_p02_G08	evo	HAMBI_1977	0.8
3_p02_G08	evo	HAMBI_1896	0.1
3_p02_G09	anc	HAMBI_1287	0.8
3_p02_G09	anc	HAMBI_1977	0.1
3_p02_G09	anc	HAMBI_1896	0.1
3_p02_G10	anc	HAMBI_1287	0.8
3_p02_G10	anc	HAMBI_1977	0.1
3_p02_G10	evo	HAMBI_1896	0.1
3_p02_G11	anc	HAMBI_1287	0.8
3_p02_G11	evo	HAMBI_1977	0.1
3_p02_G11	anc	HAMBI_1896	0.1
3_p02_G12	anc	HAMBI_1287	0.8
3_p02_G12	evo	HAMBI_1977	0.1
3_p02_G12	evo	HAMBI_1896	0.1
3_p02_B01	evo	HAMBI_0403	0.1
3_p02_B01	anc	HAMBI_1287	0.1
3_p02_B01	anc	HAMBI_1896	0.8
3_p02_B02	evo	HAMBI_0403	0.1
3_p02_B02	anc	HAMBI_1287	0.1
3_p02_B02	anc	HAMBI_1977	0.8
3_p02_B03	evo	HAMBI_0403	0.1
3_p02_B03	anc	HAMBI_1287	0.1
3_p02_B03	evo	HAMBI_1896	0.8
3_p02_B04	evo	HAMBI_0403	0.1
3_p02_B04	anc	HAMBI_1287	0.1
3_p02_B04	evo	HAMBI_1977	0.8
3_p02_B05	evo	HAMBI_0403	0.1
3_p02_B05	anc	HAMBI_1287	0.8
3_p02_B05	anc	HAMBI_1896	0.1
3_p02_B06	evo	HAMBI_0403	0.1
3_p02_B06	anc	HAMBI_1287	0.8
3_p02_B06	anc	HAMBI_1977	0.1
3_p02_B07	evo	HAMBI_0403	0.1
3_p02_B07	anc	HAMBI_1287	0.8
3_p02_B07	evo	HAMBI_1896	0.1
3_p02_B08	evo	HAMBI_0403	0.1
3_p02_B08	anc	HAMBI_1287	0.8
3_p02_B08	evo	HAMBI_1977	0.1
3_p02_B09	evo	HAMBI_0403	0.1
3_p02_B09	anc	HAMBI_1977	0.1
3_p02_B09	anc	HAMBI_1896	0.8
3_p02_B10	evo	HAMBI_0403	0.1
3_p02_B10	anc	HAMBI_1977	0.1
3_p02_B10	evo	HAMBI_1896	0.8
3_p02_B11	evo	HAMBI_0403	0.1
3_p02_B11	anc	HAMBI_1977	0.8
3_p02_B11	anc	HAMBI_1896	0.1
3_p02_B12	evo	HAMBI_0403	0.1
3_p02_B12	anc	HAMBI_1977	0.8
3_p02_B12	evo	HAMBI_1896	0.1
3_p02_D01	evo	HAMBI_0403	0.1
3_p02_D01	evo	HAMBI_1287	0.1
3_p02_D01	anc	HAMBI_1896	0.8
3_p02_D02	evo	HAMBI_0403	0.1
3_p02_D02	evo	HAMBI_1287	0.1
3_p02_D02	anc	HAMBI_1977	0.8
3_p02_D03	evo	HAMBI_0403	0.1
3_p02_D03	evo	HAMBI_1287	0.1
3_p02_D03	evo	HAMBI_1896	0.8
3_p02_D04	evo	HAMBI_0403	0.1
3_p02_D04	evo	HAMBI_1287	0.1
3_p02_D04	evo	HAMBI_1977	0.8
3_p02_D05	evo	HAMBI_0403	0.1
3_p02_D05	evo	HAMBI_1287	0.8
3_p02_D05	anc	HAMBI_1896	0.1
3_p02_D06	evo	HAMBI_0403	0.1
3_p02_D06	evo	HAMBI_1287	0.8
3_p02_D06	anc	HAMBI_1977	0.1
3_p02_D07	evo	HAMBI_0403	0.1
3_p02_D07	evo	HAMBI_1287	0.8
3_p02_D07	evo	HAMBI_1896	0.1
3_p02_D08	evo	HAMBI_0403	0.1
3_p02_D08	evo	HAMBI_1287	0.8
3_p02_D08	evo	HAMBI_1977	0.1
3_p02_D09	evo	HAMBI_0403	0.1
3_p02_D09	evo	HAMBI_1977	0.1
3_p02_D09	anc	HAMBI_1896	0.8
3_p02_D10	evo	HAMBI_0403	0.1
3_p02_D10	evo	HAMBI_1977	0.1
3_p02_D10	evo	HAMBI_1896	0.8
3_p02_D11	evo	HAMBI_0403	0.1
3_p02_D11	evo	HAMBI_1977	0.8
3_p02_D11	anc	HAMBI_1896	0.1
3_p02_D12	evo	HAMBI_0403	0.1
3_p02_D12	evo	HAMBI_1977	0.8
3_p02_D12	evo	HAMBI_1896	0.1
3_p02_F01	evo	HAMBI_0403	0.8
3_p02_F01	anc	HAMBI_1287	0.1
3_p02_F01	anc	HAMBI_1896	0.1
3_p02_F02	evo	HAMBI_0403	0.8
3_p02_F02	anc	HAMBI_1287	0.1
3_p02_F02	anc	HAMBI_1977	0.1
3_p02_F03	evo	HAMBI_0403	0.8
3_p02_F03	anc	HAMBI_1287	0.1
3_p02_F03	evo	HAMBI_1896	0.1
3_p02_F04	evo	HAMBI_0403	0.8
3_p02_F04	anc	HAMBI_1287	0.1
3_p02_F04	evo	HAMBI_1977	0.1
3_p02_F05	evo	HAMBI_0403	0.8
3_p02_F05	anc	HAMBI_1977	0.1
3_p02_F05	anc	HAMBI_1896	0.1
3_p02_F06	evo	HAMBI_0403	0.8
3_p02_F06	anc	HAMBI_1977	0.1
3_p02_F06	evo	HAMBI_1896	0.1
3_p02_F07	evo	HAMBI_0403	0.8
3_p02_F07	evo	HAMBI_1287	0.1
3_p02_F07	anc	HAMBI_1896	0.1
3_p02_F08	evo	HAMBI_0403	0.8
3_p02_F08	evo	HAMBI_1287	0.1
3_p02_F08	anc	HAMBI_1977	0.1
3_p02_F09	evo	HAMBI_0403	0.8
3_p02_F09	evo	HAMBI_1287	0.1
3_p02_F09	evo	HAMBI_1896	0.1
3_p02_F10	evo	HAMBI_0403	0.8
3_p02_F10	evo	HAMBI_1287	0.1
3_p02_F10	evo	HAMBI_1977	0.1
3_p02_F11	evo	HAMBI_0403	0.8
3_p02_F11	evo	HAMBI_1977	0.1
3_p02_F11	anc	HAMBI_1896	0.1
3_p02_F12	evo	HAMBI_0403	0.8
3_p02_F12	evo	HAMBI_1977	0.1
3_p02_F12	evo	HAMBI_1896	0.1
3_p02_H01	evo	HAMBI_1287	0.1
3_p02_H01	anc	HAMBI_1977	0.1
3_p02_H01	anc	HAMBI_1896	0.8
3_p02_H02	evo	HAMBI_1287	0.1
3_p02_H02	anc	HAMBI_1977	0.1
3_p02_H02	evo	HAMBI_1896	0.8
3_p02_H03	evo	HAMBI_1287	0.1
3_p02_H03	anc	HAMBI_1977	0.8
3_p02_H03	anc	HAMBI_1896	0.1
3_p02_H04	evo	HAMBI_1287	0.1
3_p02_H04	anc	HAMBI_1977	0.8
3_p02_H04	evo	HAMBI_1896	0.1
3_p02_H05	evo	HAMBI_1287	0.1
3_p02_H05	evo	HAMBI_1977	0.1
3_p02_H05	anc	HAMBI_1896	0.8
3_p02_H06	evo	HAMBI_1287	0.1
3_p02_H06	evo	HAMBI_1977	0.1
3_p02_H06	evo	HAMBI_1896	0.8
3_p02_H07	evo	HAMBI_1287	0.1
3_p02_H07	evo	HAMBI_1977	0.8
3_p02_H07	anc	HAMBI_1896	0.1
3_p02_H08	evo	HAMBI_1287	0.1
3_p02_H08	evo	HAMBI_1977	0.8
3_p02_H08	evo	HAMBI_1896	0.1
3_p02_H09	evo	HAMBI_1287	0.8
3_p02_H09	anc	HAMBI_1977	0.1
3_p02_H09	anc	HAMBI_1896	0.1
3_p02_H10	evo	HAMBI_1287	0.8
3_p02_H10	anc	HAMBI_1977	0.1
3_p02_H10	evo	HAMBI_1896	0.1
3_p02_H11	evo	HAMBI_1287	0.8
3_p02_H11	evo	HAMBI_1977	0.1
3_p02_H11	anc	HAMBI_1896	0.1
3_p02_H12	evo	HAMBI_1287	0.8
3_p02_H12	evo	HAMBI_1977	0.1
3_p02_H12	evo	HAMBI_1896	0.1
4_p09_A05	anc	HAMBI_0403	0.7
4_p09_A05	anc	HAMBI_1287	0.1
4_p09_A05	anc	HAMBI_1896	0.1
4_p09_A05	anc	HAMBI_1977	0.1
