transfers	n_species	community_id	strep_conc	replicate	OD
8	2	P12	16	1	0.28
1	2	P12	16	2	0.642
3	2	P12	16	2	0.277
5	2	P12	16	2	0.281
7	2	P12	16	2	0.277
8	2	P12	16	2	0.271
1	2	P12	64	1	0.677
3	2	P12	64	1	0.266
5	2	P12	64	1	0.284
7	2	P12	64	1	0.272
8	2	P12	64	1	0.271
1	2	P12	64	2	0.628
3	2	P12	64	2	0.259
5	2	P12	64	2	0.274
7	2	P12	64	2	0.269
8	2	P12	64	2	0.267
1	2	P12	256	1	0.428
3	2	P12	256	1	0.261
5	2	P12	256	1	0.264
7	2	P12	256	1	0.27
8	2	P12	256	1	0.283
1	2	P12	256	2	0.675
3	2	P12	256	2	0.268
5	2	P12	256	2	0.263
7	2	P12	256	2	0.257
8	2	P12	256	2	0.285
1	2	P13	0	1	0.888
3	2	P13	0	1	0.272
5	2	P13	0	1	0.3
7	2	P13	0	1	0.306
8	2	P13	0	1	0.288
1	2	P13	0	2	0.888
3	2	P13	0	2	0.286
5	2	P13	0	2	0.298
7	2	P13	0	2	0.29
8	2	P13	0	2	0.275
1	2	P13	16	1	0.847
3	2	P13	16	1	0.274
5	2	P13	16	1	0.307
7	2	P13	16	1	0.282
8	2	P13	16	1	0.289
1	2	P13	16	2	0.936
3	2	P13	16	2	0.268
5	2	P13	16	2	0.296
7	2	P13	16	2	0.293
8	2	P13	16	2	0.273
1	2	P13	64	1	0.872
3	2	P13	64	1	0.272
5	2	P13	64	1	0.29
7	2	P13	64	1	0.283
8	2	P13	64	1	0.267
1	2	P13	64	2	0.861
3	2	P13	64	2	0.273
5	2	P13	64	2	0.283
7	2	P13	64	2	0.282
8	2	P13	64	2	0.268
1	2	P13	256	1	0.828
3	2	P13	256	1	0.212
5	2	P13	256	1	0.248
7	2	P13	256	1	0.263
8	2	P13	256	1	0.256
1	2	P13	256	2	0.893
3	2	P13	256	2	0.231
5	2	P13	256	2	0.254
7	2	P13	256	2	0.264
8	2	P13	256	2	0.253
1	2	P14	0	1	0.932
3	2	P14	0	1	0.281
5	2	P14	0	1	0.304
7	2	P14	0	1	0.3
8	2	P14	0	1	0.289
1	2	P14	0	2	0.899
3	2	P14	0	2	0.269
5	2	P14	0	2	0.294
7	2	P14	0	2	0.249
8	2	P14	0	2	0.257
1	2	P14	16	1	0.869
3	2	P14	16	1	0.277
